,query,symbol
615,ENSG00000173432,SAA1
616,ENSG00000173465,ZNRD2
617,ENSG00000173546,CSPG4
618,ENSG00000173917,HOXB2
619,ENSG00000173918,C1QTNF1
620,ENSG00000174059,CD34
621,ENSG00000174080,CTSF
622,ENSG00000174348,PODN
623,ENSG00000174788,PCP2
624,ENSG00000174804,FZD4
625,ENSG00000174807,CD248
626,ENSG00000175048,ZDHHC14
627,ENSG00000175264,CHST1
628,ENSG00000175356,SCUBE2
629,ENSG00000175445,LPL
630,ENSG00000175463,TBC1D10C
631,ENSG00000175467,SART1
632,ENSG00000175727,MLXIP
633,ENSG00000175899,A2M
634,ENSG00000176170,SPHK1
635,ENSG00000176788,BASP1
636,ENSG00000176907,TCIM
637,ENSG00000177283,FZD8
638,ENSG00000177469,CAVIN1
639,ENSG00000177685,CRACR2B
640,ENSG00000177706,FAM20C
641,ENSG00000178038,ALS2CL
642,ENSG00000178773,CPNE7
643,ENSG00000178934,LGALS7B
644,ENSG00000179344,HLA-DQB1
645,ENSG00000179388,EGR3
646,ENSG00000179593,ALOX15B
647,ENSG00000179772,FOXS1
648,ENSG00000179862,CITED4
649,ENSG00000179922,ZNF784
650,ENSG00000179954,SSC5D
651,ENSG00000180340,FZD2
652,ENSG00000180448,ARHGAP45
653,ENSG00000180879,SSR4
654,ENSG00000181029,TRAPPC5
655,ENSG00000181135,ZNF707
656,ENSG00000181513,ACBD4
657,ENSG00000182175,RGMA
658,ENSG00000182240,BACE2
659,ENSG00000182253,SYNM
660,ENSG00000182310,SPACA6
661,ENSG00000182326,C1S
662,ENSG00000182379,NXPH4
663,ENSG00000182492,BGN
664,ENSG00000182511,FES
665,ENSG00000182580,EPHB3
666,ENSG00000182600,SNORC
667,ENSG00000182704,TSKU
668,ENSG00000182993,C12orf60
669,ENSG00000183087,GAS6
670,ENSG00000183160,TMEM119
671,ENSG00000183386,FHL3
672,ENSG00000183569,SERHL2
673,ENSG00000183615,FAM167B
674,ENSG00000183696,UPP1
675,ENSG00000183779,ZNF703
676,ENSG00000184058,TBX1
677,ENSG00000184113,CLDN5
678,ENSG00000184205,TSPYL2
679,ENSG00000184292,TACSTD2
680,ENSG00000184347,SLIT3
681,ENSG00000184497,TMEM255B
682,ENSG00000184557,SOCS3
683,ENSG00000184730,APOBR
684,ENSG00000185133,INPP5J
685,ENSG00000185291,IL3RA
686,ENSG00000185339,TCN2
687,ENSG00000185386,MAPK11
688,ENSG00000185499,MUC1
689,ENSG00000185507,IRF7
690,ENSG00000185522,LMNTD2
691,ENSG00000185567,AHNAK2
692,ENSG00000185633,COXFA4L2
693,ENSG00000185745,IFIT1
694,ENSG00000185885,IFITM1
695,ENSG00000185924,RTN4RL1
696,ENSG00000186153,WWOX
697,ENSG00000186493,IRX2-DT
698,ENSG00000186827,TNFRSF4
699,ENSG00000186868,MAPT
700,ENSG00000186907,RTN4RL2
701,ENSG00000186994,KANK3
702,ENSG00000187097,ENTPD5
703,ENSG00000187479,C11orf96
704,ENSG00000187513,GJA4
705,ENSG00000187608,ISG15
706,ENSG00000187634,SAMD11
707,ENSG00000187688,TRPV2
708,ENSG00000187837,H1-2
709,ENSG00000187942,LDLRAD2
710,ENSG00000187955,COL14A1
711,ENSG00000188001,TPRG1
712,ENSG00000188483,IER5L
713,ENSG00000188783,PRELP
714,ENSG00000188895,MSL1
715,ENSG00000189058,APOD
716,ENSG00000189129,PLAC9
717,ENSG00000189334,S100A14
718,ENSG00000189409,MMP23B
719,ENSG00000196139,AKR1C3
720,ENSG00000196352,CD55
721,ENSG00000196405,EVL
722,ENSG00000196507,TCEAL3
723,ENSG00000196557,CACNA1H
724,ENSG00000196562,SULF2
725,ENSG00000196569,LAMA2
726,ENSG00000196739,COL27A1
727,ENSG00000196878,LAMB3
728,ENSG00000196924,FLNA
729,ENSG00000197019,SERTAD1
730,ENSG00000197249,SERPINA1
731,ENSG00000197457,STMN3
732,ENSG00000197696,NMB
733,ENSG00000197747,S100A10
734,ENSG00000197766,CFD
735,ENSG00000197943,PLCG2
736,ENSG00000197956,S100A6
737,ENSG00000198363,ASPH
738,ENSG00000198467,TPM2
739,ENSG00000198624,CCDC69
740,ENSG00000198832,SELENOM
741,ENSG00000198851,CD3E
742,ENSG00000198865,CCDC152
743,ENSG00000198959,TGM2
744,ENSG00000203812,
745,ENSG00000203883,SOX18
746,ENSG00000204287,HLA-DRA
747,ENSG00000204315,FKBPL
748,ENSG00000204438,GPANK1
749,ENSG00000204482,LST1
750,ENSG00000204525,HLA-C
751,ENSG00000204592,HLA-E
752,ENSG00000204642,HLA-F
753,ENSG00000205002,AARD
